元シート,列車番号,駅順,駅名,発車,到着,方向,区間,発車_判定用,到着_判定用,発着チェック
全ダイヤ,,1,元シート,駅順,駅名,,全ダイヤ,駅順,駅名,途中
全ダイヤ,,2,全ダイヤ,＝,＝,,全ダイヤ,＝,＝,異常
全ダイヤ,,3,〇【上】ST　ｷｾ～ﾂｶ,＝,＝,,全ダイヤ,＝,＝,異常
全ダイヤ,,4,〇【上】ST　ｷｾ～ｿｶ,＝,鐘ヶ淵,,全ダイヤ,＝,鐘ヶ淵,終着
全ダイヤ,,5,〇【上】ST　ｷｾ～ｷｺﾔ,＝,＝,,全ダイヤ,＝,＝,異常
全ダイヤ,,6,〇【上】ST　ｷｾ～ｷｶｽ,＝,＝,,全ダイヤ,＝,＝,異常
全ダイヤ,,7,〇【上】ST　ｷｾ～ﾄﾌﾞｺ,＝,＝,,全ダイヤ,＝,＝,異常
全ダイヤ,,8,〇【上】STｷｾ～ﾐｸﾘ ,＝,＝,,全ダイヤ,＝,＝,異常
全ダイヤ,,9,〇【上】STｷｾ～ｸｷ ,＝,鐘ヶ淵,,全ダイヤ,＝,鐘ヶ淵,終着
全ダイヤ,,10,〇【上】ST ｷｺﾔ～ｷｶｽ,＝,＝,,全ダイヤ,＝,＝,異常
全ダイヤ,,11,〇【上】ST カス～ｷｶｽ,＝,＝,,全ダイヤ,＝,＝,異常
全ダイヤ,,12,〇【上】ST　ﾂｶ～ｿｶ,＝,＝,,全ダイヤ,＝,＝,異常
全ダイヤ,,13,〇【上】ST　ﾂｶ～ｷｺﾔ,＝,＝,,全ダイヤ,＝,＝,異常
全ダイヤ,,14,〇【上】ST　ﾂｶ～ｷｶｽ,＝,－,,全ダイヤ,＝,－,終着
全ダイヤ,,15,〇【上】ｱｻ～ﾂﾘ-,＝,＝,,全ダイヤ,＝,＝,異常
全ダイヤ,,16,〇【上】ｱｻ～ﾌﾈ,浅草,＝,,全ダイヤ,浅草,＝,始発
全ダイヤ,,17,〇【上】ｱｻ～ｷｾ,＝,＝,,全ダイヤ,＝,＝,異常
全ダイヤ,,18,〇【上】ｱｻ～ｷｶｽ,＝,＝,,全ダイヤ,＝,＝,異常
全ダイヤ,,19,〇【上】ｱｻ～ｸｷ ,＝,－,,全ダイヤ,＝,－,終着
全ダイヤ,,20,〇【上】ｱｻ～ﾀﾃ,＝,＝,,全ダイヤ,＝,＝,異常
全ダイヤ,,21,〇【上】ｸｷ～ﾀﾃ,＝,＝,,全ダイヤ,＝,＝,異常
全ダイヤ,,22,〇【上】ﾀﾃ～ｵﾀ,＝,＝,,全ダイヤ,＝,＝,異常
全ダイヤ,,23,〇【上】ﾀﾃ～ｾｻ,＝,＝,,全ダイヤ,＝,＝,異常
全ダイヤ,,24,〇【上】ｵﾀ～ｾｻ,＝,＝,,全ダイヤ,＝,＝,異常
全ダイヤ,,25,〇【上】ｵｼ～ﾐｸﾘ,＝,＝,,全ダイヤ,＝,＝,異常
